"sex","tv","computer","sleep","height","momheight","dadheight","exercise","gpa"
"Female",13.0,10.0,3.50,66.0,66.0,71.0,10.0,4.000
"Male",20.0,7.0,9.00,72.0,64.0,65.0,2.0,2.300
"Male",15.0,15.0,6.00,68.0,62.0,74.0,3.0,2.600
"Male",8.0,20.0,6.00,68.0,59.0,70.0,6.0,2.800
"Female",2.5,10.0,5.00,64.0,65.0,70.0,6.5,2.620
"Male",2.0,14.0,9.00,68.5,60.0,68.0,2.0,2.200
"Female",4.0,28.0,8.50,69.0,66.0,76.0,3.0,3.780
"Female",8.0,10.0,7.00,66.0,63.0,70.0,4.5,3.200
"Male",1.0,15.0,8.00,70.0,68.0,71.0,3.0,3.310
"Male",8.0,25.0,4.50,67.0,63.0,66.0,6.0,3.390
"Male",3.5,9.0,8.00,68.0,62.0,64.0,8.0,3.000
"Female",11.0,20.0,5.00,68.0,64.0,69.0,0.0,2.500
"Male",10.0,14.0,8.00,68.0,61.0,72.0,10.0,2.800
"Male",1.0,84.0,5.00,61.0,62.0,62.0,3.0,2.340
"Female",10.0,11.0,9.00,65.0,62.0,66.0,5.0,2.000
"Female",10.0,1.0,9.00,64.0,70.0,73.0,4.0,2.400
"Female",1.0,5.0,6.50,65.0,70.0,75.0,3.0,1.050
"Male",2.0,6.0,5.00,71.0,62.0,69.0,20.0,3.250
"Male",40.0,4.0,4.00,68.0,54.0,68.0,4.5,3.500
"Male",10.0,10.0,8.50,77.0,64.0,74.0,10.0,2.200
"Female",30.0,30.0,9.50,68.0,68.0,69.0,1.0,2.500
"Male",1.5,8.0,8.50,67.0,64.0,66.0,5.0,3.500
"Male",10.0,12.0,9.00,75.0,68.0,73.0,7.0,3.000
"Male",15.0,5.0,6.00,72.0,67.0,71.0,6.0,3.600
"Male",4.0,5.0,6.50,68.0,66.0,68.0,9.0,3.160
"Male",6.0,6.0,5.00,72.0,62.0,70.0,10.0,2.400
"Female",100.0,2.0,7.00,66.0,60.0,77.0,3.0,2.650
